type;code;name;
Character(36,0);Character(11,0);Character(60,0);
NOT NULL;NOT NULL;NOT NULL;
Справочник.ПроизводителиНоменклатуры;00000002058;ASFAR;
Справочник.ПроизводителиНоменклатуры;00000002058;ASFAR;
Справочник.ПроизводителиНоменклатуры;00000001295;ASHIKA;
Справочник.ПроизводителиНоменклатуры;00000001295;ASHIKA;
Справочник.ПроизводителиНоменклатуры;00000001296;ASHUKI;
Справочник.ПроизводителиНоменклатуры;00000001296;ASHUKI;
Справочник.ПроизводителиНоменклатуры;00000003033;ASIMCO;
Справочник.ПроизводителиНоменклатуры;00000003033;ASIMCO;
Справочник.ПроизводителиНоменклатуры;00000003033;ASIMCO;
Справочник.ПроизводителиНоменклатуры;00000003698;ASLYX;
Справочник.ПроизводителиНоменклатуры;00000003698;ASLYX;
Справочник.ПроизводителиНоменклатуры;00000001285;ASMET;
Справочник.ПроизводителиНоменклатуры;00000001285;ASMET;
Справочник.ПроизводителиНоменклатуры;00000003376;ASMETAL;
Справочник.ПроизводителиНоменклатуры;00000003376;ASMETAL;
Справочник.ПроизводителиНоменклатуры;00000003376;ASMETAL;
Справочник.ПроизводителиНоменклатуры;00000003228;ASP;
Справочник.ПроизводителиНоменклатуры;00000003588;ASP MENSAN;
Справочник.ПроизводителиНоменклатуры;00000003588;ASP MENSAN;
Справочник.ПроизводителиНоменклатуры;00000003367;ASPACO;
Справочник.ПроизводителиНоменклатуры;00000003367;ASPACO;
Справочник.ПроизводителиНоменклатуры;00000003367;ASPACO;
Справочник.ПроизводителиНоменклатуры;00000003624;ASPART;
Справочник.ПроизводителиНоменклатуры;00000003624;ASPART;
Справочник.ПроизводителиНоменклатуры;00000002782;AS-PL;
Справочник.ПроизводителиНоменклатуры;00000002782;AS-PL;
Справочник.ПроизводителиНоменклатуры;00000002543;Aspock;
Справочник.ПроизводителиНоменклатуры;00000002543;Aspock;
Справочник.ПроизводителиНоменклатуры;00000002543;Aspock;
Справочник.ПроизводителиНоменклатуры;00000002543;Aspock;
Справочник.ПроизводителиНоменклатуры;00000001289;ASSO;
Справочник.ПроизводителиНоменклатуры;00000001289;ASSO;
Справочник.ПроизводителиНоменклатуры;00000001749;AS-Starter;
Справочник.ПроизводителиНоменклатуры;00000001749;AS-Starter;
Справочник.ПроизводителиНоменклатуры;00000002160;ASTON MARTIN;
Справочник.ПроизводителиНоменклатуры;00000002160;ASTON MARTIN;
Справочник.ПроизводителиНоменклатуры;00000002160;ASTON MARTIN;
Справочник.ПроизводителиНоменклатуры;00000001823;ASTRA;
Справочник.ПроизводителиНоменклатуры;00000001823;ASTRA;
